,Rollno,Name,Gender,Branch,Attendence,Phy_marks,Che_marks,EM1_marks,PPS_marks,SME_marks,Total Marks,Percentage
0,1,Mohammed,M,Comp,72,62,98,63,89,36,368,73.6
1,2,Reyansh,M,IT,58,62,83,83,88,34,350,70
2,3,Aarav,M,IT,57,-20,100,NaN,56,36,192,38.4
3,4,Atharv,M,IT,60,89,83,70,33,23,298,59.6
4,5,Vivaan,M,Comp,85,90,NaN,78,23,56,247,49.4
5,6,Advik,M,ENTC,94,99,84,100,56,99,438,87.6
6,7,Ansh,M,ENTC,98,88,95,81,78,78,420,84
7,8,Ishaan,M,ENTC,75,66,51,83,-99,76,192,38.4
8,9,Dhruv,M,ENTC,63,NaN,NaN,97,56,55,208,41.6
9,10,Siddharth,M,ENTC,96,67,78,95,NaN,98,338,67.6
10,11,Vihaan,M,ENTC,82,54,70,88,55,56,323,64.6
11,12,NaN,M,IT,75,64,67,71,66,87,355,71
12,13,Aarush,M,IT,67,56,81,NaN,90,55,282,56.4
13,14,Leo,M,IT,98,-34,70,94,77,66,273,54.6
14,15,Maryam,F,IT,64,87,60,90,65,90,392,78.4
15,16,Saanvi,F,Comp,66,90,95,67,99,77,428,85.6
16,17,Zaranew,F,Comp,93,54,NaN,75,90,65,284,56.8
17,18,Inaya,F,Comp,74,67,93,93,87,99,439,87.8
18,19,Aarya,F,Comp,72,88,84,81,80,45,378,75.6
19,,,,,,,,,,,,
